7, 35, 1, Languages, Tech, Art, Languages, 523, 500, 758, 235
7, 44, 1, Science, Languages, Tech, Math, 670, 510, 957, 330
7, 37, 6, Tech, Tech, Tech, Languages, 619, 520, 487, 294
6, 41, 3, Art, Math, Science, Math, 367, 530, 831, 276
10, 31, 7, Science, Tech, Tech, Math, 362, 540, 50, 122
8, 33, 4, Languages, Gym, Tech, Languages, 649, 550, 939, 133
4, 17, 4, Languages, Art, Languages, Languages, 645, 560, 900, 307
6, 23, 9, Tech, Tech, Science, Math, 413, 570, 784, 167
3, 24, 5, Art, Science, Gym, Art, 493, 580, 637, 93
3, 36, 7, Languages, Languages, Tech, Tech, 396, 590, 542, 335
2, 15, 7, Math, Languages, Gym, Art, 445, 600, 936, 53
3, 44, 2, Art, Art, Science, Tech, 467, 610, 758, 259
5, 43, 2, Math, Math, Gym, Languages, 682, 620, 123, 26
7, 12, 3, Tech, Tech, Languages, Tech, 544, 630, 7, 416
7, 1, 9, Art, Gym, Languages, Math, 600, 640, 934, 314
7, 9, 6, Gym, Languages, Languages, Languages, 523, 650, 279, 9
4, 5, 7, Languages, Tech, Art, Tech, 632, 660, 770, 49
1, 5, 5, Tech, Tech, Math, Tech, 440, 670, 500, 69
5, 44, 2, Math, Gym, Science, Math, 397, 680, 269, 18
0, 15, 9, Science, Math, Gym, Art, 591, 690, 772, 260
5, 19, 6, Gym, Math, Math, Languages, 523, 700, 499, 388
2, 30, 4, Languages, Gym, Tech, Languages, 460, 710, 169, 299
1, 37, 3, Tech, Math, Art, Gym, 343, 720, 649, 173
2, 42, 1, Tech, Gym, Gym, Tech, 536, 730, 881, 453
1, 18, 1, Math, Math, Languages, Art, 451, 740, 560, 470
9, 33, 3, Art, Math, Math, Tech, 658, 750, 395, 12
5, 45, 1, Gym, Math, Art, Tech, 554, 760, 149, 473
5, 23, 9, Languages, Tech, Science, Tech, 630, 770, 500, 301
7, 13, 7, Math, Languages, Science, Art, 576, 780, 184, 110
2, 30, 3, Languages, Art, Math, Science, 447, 790, 194, 204
0, 28, 2, Science, Gym, Tech, Art, 384, 800, 397, 102
3, 22, 9, Science, Science, Art, Math, 594, 810, 742, 377
3, 13, 3, Math, Science, Languages, Languages, 484, 820, 824, 256
4, 10, 0, Gym, Tech, Gym, Languages, 447, 830, 182, 404
10, 4, 0, Math, Science, Art, Languages, 605, 840, 956, 223
