10, 49, 1, Science, Math, Tech, Languages, 554, 500, 878, 207
5, 32, 6, Languages, Languages, Art, Art, 593, 510, 456, 359
5, 8, 9, Tech, Art, Gym, Languages, 519, 520, 235, 188
7, 4, 4, Languages, Languages, Science, Math, 610, 530, 245, 274
9, 41, 8, Gym, Art, Languages, Math, 534, 540, 928, 52
8, 13, 0, Gym, Tech, Science, Languages, 559, 550, 870, 364
1, 43, 1, Tech, Science, Math, Gym, 632, 560, 885, 306
7, 28, 1, Science, Science, Art, Art, 547, 570, 68, 305
1, 21, 0, Math, Science, Science, Tech, 655, 580, 52, 341
5, 5, 4, Tech, Art, Tech, Languages, 548, 590, 86, 348
4, 34, 7, Art, Tech, Tech, Art, 634, 600, 618, 455
6, 29, 3, Gym, Art, Art, Tech, 349, 610, 490, 32
6, 36, 5, Tech, Math, Tech, Languages, 480, 620, 297, 433
8, 46, 2, Math, Tech, Art, Math, 645, 630, 685, 293
1, 30, 4, Gym, Tech, Science, Languages, 619, 640, 771, 169
1, 30, 7, Art, Gym, Languages, Gym, 610, 650, 595, 112
4, 27, 8, Science, Tech, Math, Gym, 314, 660, 531, 105
2, 30, 7, Art, Gym, Languages, Math, 402, 670, 690, 468
3, 16, 3, Tech, Art, Tech, Gym, 456, 680, 646, 384
4, 19, 4, Art, Math, Science, Tech, 427, 690, 947, 93
3, 39, 8, Languages, Tech, Tech, Math, 339, 700, 513, 304
1, 49, 4, Gym, Tech, Tech, Languages, 306, 710, 847, 24
7, 39, 4, Science, Languages, Math, Art, 507, 720, 798, 449
8, 39, 6, Math, Languages, Tech, Languages, 365, 730, 245, 310
3, 48, 3, Languages, Art, Art, Gym, 642, 740, 759, 428
3, 43, 4, Science, Art, Math, Tech, 539, 750, 664, 17
8, 35, 7, Art, Art, Tech, Math, 595, 760, 80, 436
8, 34, 6, Math, Math, Math, Languages, 495, 770, 244, 471
5, 8, 7, Languages, Languages, Tech, Art, 415, 780, 506, 311
3, 46, 8, Science, Science, Math, Gym, 529, 790, 536, 244
10, 25, 5, Languages, Gym, Math, Gym, 456, 800, 831, 179
9, 42, 3, Art, Gym, Tech, Languages, 509, 810, 321, 346
4, 44, 7, Tech, Math, Science, Languages, 529, 820, 467, 446
9, 16, 8, Languages, Math, Gym, Languages, 380, 830, 380, 90
8, 5, 2, Languages, Science, Art, Languages, 468, 840, 572, 342
4, 50, 7, Math, Gym, Tech, Science, 443, 850, 405, 351
6, 44, 6, Languages, Science, Languages, Art, 608, 860, 884, 394
8, 40, 1, Tech, Math, Art, Tech, 677, 870, 89, 391
4, 1, 3, Math, Gym, Gym, Gym, 373, 880, 432, 353
4, 4, 5, Science, Tech, Science, Science, 643, 890, 480, 260
2, 34, 0, Math, Tech, Tech, Science, 518, 900, 553, 393
2, 7, 3, Languages, Gym, Tech, Gym, 392, 910, 494, 437
3, 43, 3, Tech, Art, Gym, Math, 653, 920, 326, 296
8, 38, 7, Gym, Gym, Gym, Math, 307, 930, 575, 464
8, 17, 8, Art, Art, Languages, Languages, 439, 940, 159, 330
1, 13, 3, Art, Math, Tech, Math, 322, 950, 704, 82
4, 20, 1, Science, Gym, Tech, Art, 387, 960, 590, 294
7, 36, 0, Art, Tech, Art, Gym, 479, 970, 939, 209
8, 6, 7, Science, Math, Tech, Art, 394, 980, 223, 287
6, 44, 2, Tech, Science, Science, Tech, 368, 990, 428, 251
5, 48, 4, Languages, Gym, Art, Languages, 563, 1000, 362, 162
8, 49, 1, Math, Languages, Math, Math, 403, 1010, 96, 125
6, 50, 0, Art, Math, Art, Languages, 359, 1020, 425, 102
5, 33, 1, Math, Languages, Languages, Gym, 489, 1030, 340, 98
10, 16, 4, Science, Tech, Languages, Science, 511, 1040, 525, 181
5, 45, 6, Gym, Science, Gym, Languages, 391, 1050, 603, 206
1, 0, 3, Tech, Art, Languages, Science, 674, 1060, 862, 16
5, 44, 9, Tech, Art, Math, Tech, 573, 1070, 619, 472
4, 45, 7, Science, Science, Science, Gym, 425, 1080, 401, 65
1, 34, 1, Art, Languages, Gym, Art, 634, 1090, 628, 179
9, 19, 2, Languages, Tech, Math, Languages, 341, 1100, 84, 310
7, 32, 5, Art, Tech, Math, Math, 628, 1110, 545, 293
6, 11, 7, Art, Gym, Gym, Art, 467, 1120, 727, 106
9, 25, 9, Tech, Languages, Science, Gym, 490, 1130, 903, 201
6, 6, 5, Gym, Tech, Math, Gym, 372, 1140, 322, 399
4, 6, 9, Tech, Math, Tech, Math, 373, 1150, 427, 14
2, 15, 10, Languages, Gym, Math, Math, 606, 1160, 650, 172
3, 23, 8, Math, Math, Gym, Art, 311, 1170, 223, 406
2, 12, 0, Math, Tech, Math, Science, 480, 1180, 449, 105
10, 39, 1, Math, Art, Languages, Languages, 607, 1190, 210, 16
3, 44, 7, Languages, Gym, Tech, Art, 416, 1200, 609, 420
1, 10, 8, Tech, Gym, Gym, Math, 600, 1210, 404, 297
6, 30, 1, Science, Gym, Art, Languages, 635, 1220, 601, 118
9, 4, 7, Math, Tech, Art, Languages, 376, 1230, 790, 363
2, 13, 2, Languages, Art, Tech, Tech, 441, 1240, 996, 445
5, 39, 4, Science, Math, Math, Art, 375, 1250, 542, 21
1, 23, 9, Languages, Art, Languages, Science, 556, 1260, 297, 210
3, 0, 6, Art, Languages, Gym, Languages, 336, 1270, 473, 65
1, 32, 6, Gym, Languages, Science, Art, 677, 1280, 439, 164
1, 30, 8, Math, Languages, Languages, Science, 516, 1290, 482, 32
1, 22, 1, Gym, Art, Science, Tech, 596, 1300, 118, 223
4, 28, 1, Gym, Tech, Art, Art, 549, 1310, 0, 290
6, 41, 4, Gym, Math, Gym, Math, 337, 1320, 388, 298
5, 35, 2, Tech, Tech, Science, Science, 578, 1330, 628, 22
5, 39, 5, Tech, Art, Art, Tech, 365, 1340, 725, 205
9, 5, 5, Gym, Tech, Gym, Languages, 657, 1350, 270, 108
7, 21, 7, Art, Tech, Gym, Gym, 567, 1360, 426, 466
3, 45, 0, Science, Math, Tech, Languages, 391, 1370, 619, 86
8, 19, 7, Science, Gym, Gym, Gym, 681, 1380, 30, 423
4, 48, 5, Art, Gym, Tech, Tech, 525, 1390, 216, 76
2, 5, 3, Art, Math, Science, Gym, 525, 1400, 416, 131
0, 3, 6, Languages, Languages, Math, Science, 332, 1410, 925, 127
5, 44, 9, Languages, Tech, Gym, Languages, 306, 1420, 860, 250
4, 24, 6, Tech, Tech, Art, Gym, 657, 1430, 275, 352
6, 14, 7, Math, Math, Languages, Tech, 497, 1440, 110, 445
7, 44, 3, Languages, Tech, Gym, Gym, 422, 1450, 121, 353
10, 35, 7, Gym, Science, Languages, Science, 695, 1460, 307, 28
7, 48, 8, Math, Art, Science, Science, 628, 1470, 573, 111
4, 26, 4, Languages, Languages, Languages, Science, 446, 1480, 367, 157
0, 30, 3, Tech, Math, Gym, Science, 668, 1490, 454, 195
0, 2, 8, Math, Languages, Art, Languages, 329, 1500, 290, 454
8, 50, 0, Gym, Art, Gym, Art, 683, 1510, 204, 198
5, 25, 3, Math, Art, Gym, Tech, 638, 1520, 461, 354
5, 50, 1, Gym, Languages, Science, Languages, 678, 1530, 303, 356
4, 16, 4, Art, Science, Gym, Science, 322, 1540, 529, 372
4, 2, 6, Languages, Math, Art, Science, 649, 1550, 997, 197
6, 33, 5, Languages, Science, Tech, Art, 506, 1560, 270, 159
5, 8, 0, Science, Tech, Gym, Art, 594, 1570, 335, 72
2, 30, 9, Languages, Gym, Art, Math, 433, 1580, 270, 240
4, 15, 5, Art, Science, Math, Math, 564, 1590, 736, 39
4, 4, 7, Gym, Languages, Art, Gym, 479, 1600, 315, 188
6, 36, 0, Tech, Math, Science, Science, 427, 1610, 446, 461
7, 35, 7, Tech, Gym, Tech, Art, 472, 1620, 589, 430
8, 47, 4, Math, Gym, Tech, Languages, 559, 1630, 101, 309
9, 17, 8, Science, Science, Science, Math, 638, 1640, 704, 110
9, 14, 6, Languages, Tech, Gym, Gym, 331, 1650, 69, 397
10, 44, 5, Languages, Art, Gym, Gym, 624, 1660, 47, 169
2, 18, 6, Art, Science, Art, Tech, 561, 1670, 529, 145
