7, 38, 0, Tech, Science, Science, Science, 558, 500, 533, 391
9, 10, 8, Art, Science, Tech, Gym, 654, 510, 999, 201
3, 16, 7, Tech, Gym, Languages, Languages, 318, 520, 173, 61
2, 32, 1, Art, Science, Math, Gym, 366, 530, 842, 291
4, 40, 7, Science, Math, Science, Languages, 310, 540, 578, 25
6, 30, 9, Languages, Art, Tech, Gym, 520, 550, 392, 196
2, 22, 1, Tech, Tech, Art, Languages, 524, 560, 991, 293
1, 43, 3, Gym, Science, Languages, Math, 387, 570, 691, 263
0, 21, 6, Math, Art, Math, Math, 477, 580, 974, 279
7, 49, 2, Gym, Science, Math, Tech, 457, 590, 926, 39
1, 29, 0, Tech, Gym, Math, Gym, 408, 600, 184, 295
1, 16, 1, Science, Science, Art, Languages, 391, 610, 402, 31
7, 6, 6, Art, Gym, Languages, Gym, 417, 620, 428, 12
5, 2, 1, Tech, Tech, Science, Gym, 499, 630, 372, 198
8, 39, 8, Gym, Science, Art, Art, 328, 640, 186, 432
6, 25, 8, Science, Tech, Math, Languages, 449, 650, 287, 12
4, 42, 2, Tech, Math, Languages, Art, 397, 660, 550, 27
2, 12, 3, Math, Tech, Tech, Art, 371, 670, 892, 348
10, 41, 9, Art, Art, Math, Art, 347, 680, 158, 454
4, 10, 4, Tech, Science, Art, Math, 458, 690, 411, 342
4, 18, 2, Art, Languages, Science, Languages, 603, 700, 367, 24
1, 9, 9, Art, Languages, Art, Science, 686, 710, 221, 173
8, 3, 1, Tech, Art, Tech, Languages, 675, 720, 920, 314
3, 37, 9, Art, Math, Languages, Science, 359, 730, 175, 358
9, 18, 0, Art, Math, Tech, Tech, 542, 740, 373, 245
8, 35, 7, Languages, Math, Art, Gym, 389, 750, 348, 219
6, 38, 4, Art, Languages, Tech, Art, 535, 760, 123, 303
5, 18, 4, Tech, Science, Science, Languages, 419, 770, 169, 196
4, 31, 4, Languages, Science, Math, Science, 376, 780, 312, 267
3, 28, 4, Languages, Science, Math, Math, 365, 790, 847, 11
2, 7, 9, Languages, Art, Languages, Languages, 476, 800, 838, 275
8, 46, 8, Tech, Languages, Art, Math, 519, 810, 702, 29
1, 4, 4, Science, Gym, Math, Gym, 460, 820, 225, 227
7, 36, 2, Science, Tech, Art, Science, 620, 830, 714, 73
3, 37, 8, Math, Gym, Gym, Languages, 413, 840, 935, 226
